-9.8205	6.6610	-1
2.2405	3.6145	1
0.5950	6.4402	1
2.5644	-10.1175	-1
6.1184	-1.9583	1
-7.8832	0.0027	-1
2.0000	-4.0000	-1
2.4875	4.6518	1
-4.6008	12.4886	1
-3.2508	9.8378	1
2.6028	4.3551	1
0.9928	-4.2604	-1
1.8607	-5.9187	-1
-5.5412	-0.5394	-1
0.5894	2.9496	1
-4.2404	10.1937	1
5.3800	-1.7036	1
-3.0000	5.0000	1
-8.7283	2.2468	-1
-8.2287	0.8988	-1
-8.4336	1.2946	-1
2.7590	1.0784	1
2.9531	-6.9680	-1
6.1452	-0.7751	1
2.7412	5.1291	1
-2.0094	-3.5032	-1
-1.5771	-1.6737	-1
3.1597	0.4768	1
-6.5813	-0.9902	-1
-3.2587	8.1883	1
-4.4487	1.3225	-1
1.6823	6.2172	1
4.8578	-0.2035	1
-8.8289	1.3517	-1
-7.8230	4.3950	-1
-2.3123	-4.2688	-1
-3.3079	8.7399	1
-1.9877	-1.1538	-1
-7.6989	0.3054	-1
-0.9809	4.1680	1
